cohort,dimension,category,period,numerator,denominator,share,ci_low,ci_high,registered_status,claim_gate,note
RACE-DT,bucket_mix,RD-PURE,P3,0,19,0.000000,0.000000,0.000000,disclosed,APPENDIX-READY,thin represented context cohort
RACE-DT,institutional_share,institutional,P1,5,42,0.119048,0.023810,0.214286,disclosed,APPENDIX-READY,thin represented context cohort
RACE-DT,institutional_share,noninstitutional,P1,37,42,0.880952,0.785714,0.976190,disclosed,APPENDIX-READY,thin represented context cohort
RACE-DT,institutional_share,institutional,P2,0,10,0.000000,0.000000,0.000000,disclosed,APPENDIX-READY,thin represented context cohort
RACE-DT,institutional_share,noninstitutional,P2,10,10,1.000000,1.000000,1.000000,disclosed,APPENDIX-READY,thin represented context cohort
RACE-DT,institutional_share,institutional,P3,1,19,0.052632,0.000000,0.157895,disclosed,APPENDIX-READY,thin represented context cohort
RACE-DT,institutional_share,noninstitutional,P3,18,19,0.947368,0.842105,1.000000,disclosed,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,10th Circuit,P1,1,42,0.023810,0.000000,0.071429,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,11th Circuit,P1,4,42,0.095238,0.023810,0.190476,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,1st Circuit,P1,4,42,0.095238,0.023810,0.190476,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,2nd Circuit,P1,6,42,0.142857,0.047619,0.261905,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,3rd Circuit,P1,2,42,0.047619,0.000000,0.119048,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,4th Circuit,P1,5,42,0.119048,0.023810,0.214286,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,5th Circuit,P1,5,42,0.119048,0.023810,0.214286,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,6th Circuit,P1,3,42,0.071429,0.000000,0.142857,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,7th Circuit,P1,4,42,0.095238,0.023810,0.190476,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,9th Circuit,P1,4,42,0.095238,0.023810,0.190476,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,D.C. Circuit,P1,4,42,0.095238,0.023810,0.190476,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,10th Circuit,P2,0,10,0.000000,0.000000,0.000000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,11th Circuit,P2,1,10,0.100000,0.000000,0.300000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,1st Circuit,P2,0,10,0.000000,0.000000,0.000000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,2nd Circuit,P2,1,10,0.100000,0.000000,0.300000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,3rd Circuit,P2,2,10,0.200000,0.000000,0.500000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,4th Circuit,P2,1,10,0.100000,0.000000,0.300000,registered,APPENDIX-READY,thin represented context cohort
